site,Antechinus,Bandicoot,Brushtail,Fox,Hare,Kangaroo,Mouse,R_fuscipes,R_rattus,Rabbit,Ringtail,Wallaby
1,0,0,1,0,0,1,0,0,1,0,1,0
4,0,0,0,1,0,0,0,1,1,0,1,0
5,0,0,0,1,1,1,0,0,0,0,0,1
8,1,0,0,1,1,1,0,1,0,1,0,0
15,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,1,0,0,1,0,1,0,0,1,0
18,1,0,0,1,1,1,0,1,1,0,1,0
19,0,0,0,0,0,1,0,1,0,0,1,1
21,1,0,0,1,1,1,0,1,0,0,1,1
22,0,0,0,1,0,1,0,1,1,0,1,0
25,0,0,0,0,0,1,0,0,0,0,1,0
27,0,0,0,1,0,1,0,0,1,0,0,0
28,0,0,1,1,0,1,0,0,1,0,0,0
30,0,0,0,0,0,1,0,0,1,0,0,0
33,0,0,1,1,0,1,0,0,0,0,1,1
36,1,0,1,1,0,1,1,0,1,0,0,0
37,1,0,0,0,0,1,0,0,1,0,0,0
38,1,0,1,0,0,0,0,0,1,0,0,0
41,0,0,0,0,0,1,0,0,0,0,1,0
42,1,0,0,0,0,1,0,1,1,0,1,0
50,1,0,0,0,0,1,1,0,1,0,0,0
52,0,0,0,1,0,1,0,0,0,0,1,0
53,0,0,0,0,0,1,0,1,0,0,0,0
55,0,0,0,1,1,1,0,1,1,0,0,0
57,1,0,0,1,0,1,0,0,0,0,1,0
58,0,1,1,1,0,1,0,0,1,1,0,0
59,1,0,0,1,0,1,0,1,1,0,0,0
61,0,0,0,1,0,1,0,1,0,0,1,0
63,1,0,0,0,0,1,0,0,1,0,1,0
64,0,0,1,0,0,1,0,0,0,0,0,0
65,1,1,0,0,0,1,0,1,1,0,0,0
66,1,0,0,0,0,1,0,1,1,0,1,0
67,0,0,1,1,0,1,0,0,0,0,1,0
68,1,0,0,0,0,1,0,1,0,0,1,0
70,0,0,0,1,0,1,0,1,0,0,1,0
71,0,0,1,1,0,1,0,1,0,0,0,0
72,1,0,0,0,0,1,0,1,0,0,1,0
74,0,1,0,1,0,1,0,1,0,0,0,0
76,1,0,0,1,0,1,0,0,1,1,1,0
77,0,0,0,1,0,1,0,1,0,0,1,0
78,1,1,0,1,0,0,0,1,0,0,1,0
79,1,1,1,1,1,1,0,1,1,1,1,0
80,0,1,0,1,0,1,0,1,0,0,0,0
83,1,0,1,0,0,1,0,1,0,0,0,0
85,0,0,0,1,1,1,0,1,0,0,0,0
88,1,0,0,1,0,1,0,1,1,0,1,0
91,0,0,0,0,0,1,0,1,1,0,1,0
92,0,0,0,1,0,1,0,0,1,0,0,0
96,1,0,0,0,0,0,0,1,0,0,0,1
97,1,0,1,0,0,1,0,1,1,0,0,0
98,0,0,0,0,0,1,0,1,0,1,0,0
99,0,0,0,1,0,1,0,0,0,0,0,0
100,1,1,1,0,0,1,0,1,0,0,1,0
101,0,0,0,1,0,0,0,0,1,0,1,0
102,0,0,0,1,0,1,0,0,0,0,1,0
103,0,0,0,1,1,1,1,0,1,0,1,0
105,1,1,0,0,0,1,0,1,0,0,0,0
106,1,0,0,1,0,1,0,1,1,0,1,1
107,1,0,0,1,0,1,0,0,0,0,0,0
108,1,1,0,0,0,1,0,1,0,0,0,0
110,0,0,0,1,0,1,0,1,0,0,0,0
111,1,1,1,1,0,1,0,1,1,0,1,0
112,1,1,0,1,0,1,0,1,0,0,1,1
118,1,1,0,0,0,1,0,1,0,1,1,0
119,1,1,0,1,0,1,0,1,0,0,1,0
120,0,1,1,1,1,0,0,1,0,0,1,0
121,1,1,0,1,0,1,0,1,0,0,0,0
122,1,0,0,1,0,1,0,1,0,0,1,0
127,0,0,1,1,0,1,0,0,1,0,0,0
129,0,0,1,0,0,1,0,0,1,0,0,0
130,0,0,0,1,0,1,0,0,0,0,0,0
132,1,0,0,0,0,1,0,1,0,0,1,0
136,0,1,0,0,0,1,0,1,0,0,1,0
139,0,0,0,1,1,1,0,0,0,0,0,0
140,1,0,1,1,0,1,0,0,1,0,0,0
141,0,0,1,1,0,1,0,1,1,0,1,0
143,1,0,1,1,0,1,0,0,1,0,1,1
144,0,0,1,1,1,1,0,0,0,0,0,0
145,0,1,1,0,0,1,0,0,1,0,1,0
150,0,1,0,0,0,1,0,1,0,0,0,0
151,0,1,1,0,1,1,0,1,0,0,0,0
152,0,0,1,0,0,1,0,1,1,0,1,0
153,0,0,0,0,0,1,0,0,1,1,0,0
154,0,0,0,1,0,1,1,0,1,1,0,0
155,0,0,0,1,0,1,0,0,0,1,1,0
156,0,0,0,1,0,0,0,0,1,0,1,0
157,1,1,1,1,0,1,0,1,0,1,0,0
158,0,0,0,1,0,1,1,1,1,0,0,0
161,0,0,0,1,0,1,0,0,1,0,0,0
164,1,0,1,1,0,1,0,0,1,0,0,0
165,1,0,0,0,0,1,0,1,0,1,0,0
166,0,0,0,1,0,1,1,1,0,0,1,0
167,1,1,1,1,0,1,0,1,0,0,1,0
169,0,0,0,0,0,1,0,0,0,0,0,0
170,0,0,1,1,0,1,0,0,1,0,0,0
171,0,0,0,1,0,1,0,0,1,1,0,0
172,1,0,1,1,0,1,0,0,1,0,0,0
173,1,1,1,0,0,1,0,1,0,0,0,0
174,0,0,1,1,1,1,1,0,1,0,1,0
175,1,0,1,1,0,1,0,0,1,0,0,0
176,0,0,1,0,0,1,1,0,1,0,1,0
178,1,0,1,1,0,1,0,1,0,0,0,0
182,0,0,1,1,0,1,0,0,1,0,1,0
183,0,0,0,0,0,1,0,1,1,0,1,1
184,0,0,1,1,0,1,0,1,1,1,0,0
186,0,0,1,0,1,1,0,0,0,0,0,0
187,0,0,0,1,0,1,0,0,0,0,0,0
188,1,0,1,0,0,1,0,1,0,0,1,0
189,0,0,1,1,1,1,0,0,1,1,0,0
190,0,1,0,0,0,1,0,1,0,0,1,0
191,0,0,0,1,0,1,0,1,0,0,0,0
192,0,0,0,1,0,1,0,1,0,0,0,0
193,0,0,0,1,0,1,0,0,0,0,0,0
194,1,0,0,1,0,1,0,0,0,0,0,0
195,1,0,0,1,0,1,0,1,0,0,0,0
196,1,0,0,0,0,0,0,1,0,0,0,1
197,1,0,0,0,1,1,0,1,0,0,1,1
198,1,0,0,0,0,0,0,1,0,0,0,1
199,1,0,1,1,1,1,0,0,1,0,0,1
200,1,0,0,1,0,1,0,1,0,0,0,1
201,0,0,0,1,0,1,0,1,0,0,0,1
202,1,0,0,1,0,1,0,1,0,0,0,0
203,1,0,0,0,1,1,0,1,0,0,1,1
204,1,0,0,0,1,1,0,1,0,0,0,1
205,0,0,0,0,0,0,0,1,0,0,1,0
206,1,0,0,1,0,1,0,1,0,0,0,0
207,1,0,0,1,0,1,0,1,0,0,0,0
208,1,0,1,1,0,1,0,1,1,0,1,1
209,0,0,1,0,1,1,0,0,0,0,0,0
