plot_id,xcoord,ycoord,heathy_200,heathy_400,heathy_600,heathy_800,heathy_1000,heathy_1200,heathy_1400,heathy_1600,heathy_1800,heathy_2000,cleared_200,cleared_400,cleared_600,cleared_800,cleared_1000,cleared_1200,cleared_1400,cleared_1600,cleared_1800,cleared_2000,edgelength_200,edgelength_400,edgelength_600,edgelength_800,edgelength_1000,edgelength_1200,edgelength_1400,edgelength_1600,edgelength_1800,edgelength_2000,firediversity_200,firediversity_400,firediversity_600,firediversity_800,firediversity_1000,firediversity_1200,firediversity_1400,firediversity_1600,firediversity_1800,firediversity_2000,midSucc_200,midSucc_400,midSucc_600,midSucc_800,midSucc_1000,midSucc_1200,midSucc_1400,midSucc_1600,midSucc_1800,midSucc_2000,growthstage,TSF
1,297144,6125913,12.87,47.07,74.7,100.98,123.75,147.6,161.28,182.07,227.43,277.29,0,2.34,34.47,90.45,171.18,275.94,410.13,561.87,719.82,882.09,0,720,3120,6060,8700,13530,17820,24570,35460,46080,0.453317901,0.385192666,0.36849105,0.385715697,0.323205785,0.271031751,0.245452608,0.211353272,0.168215341,0.142305463,0,0,0,0,0,0,0,0,0,0,4,75
4,290920,6135369,12.33,39.87,86.04,154.53,211.68,259.56,310.14,351.18,375.39,412.11,0,0,0,0.63,8.01,24.93,36.18,63.63,120.06,193.41,0,0,0,300,1830,5190,8730,15420,21300,29940,0,0,0.007930088,0.170726538,0.294071389,0.4008952,0.45862089,0.478231448,0.489560693,0.513061046,0,0,0,0,1.89,11.34,20.16,21.69,40.68,74.79,4,47
5,296196,6120145,8.55,22.77,32.13,56.61,91.62,120.6,144,179.19,214.56,246.24,4.14,22.68,62.91,109.44,176.67,265.68,384.39,508.86,663.57,847.98,690,2610,4380,9180,14550,20640,29250,37710,46260,53940,0.563265969,0.625576929,0.623397612,0.451958171,0.312719376,0.24320199,0.199387056,0.162310385,0.137670419,0.120217883,0,0,0,0,0,0,0,0,0,0,1,1
8,296676,6121050,9.18,23.49,36.18,52.47,81.18,113.67,149.76,189.9,223.11,254.52,2.43,24.48,71.19,136.89,209.7,301.68,412.56,535.95,666.09,817.65,810,3360,5940,8520,12660,17880,24270,31980,39090,46770,0,0,0.052104164,0.26098497,0.272576649,0.247203894,0.233592273,0.215971714,0.192352372,0.176323887,0,0,0,0,0,0,0,0,0,0,4,39
15,291322,6136099,11.43,35.01,59.49,96.66,145.8,203.58,280.44,368.91,433.8,498.96,0,0,0,0,3.24,7.56,11.61,30.51,70.92,119.7,0,0,480,600,1980,3780,5550,9960,16410,24390,0.247847091,0.507014149,0.542929139,0.518600818,0.491340322,0.518413369,0.555123819,0.590237198,0.631390924,0.648257726,0,0,0.18,0.9,11.97,39.87,79.74,115.02,161.73,196.47,1,1
16,289898,6114481,11.7,36.63,84.33,152.64,240.84,331.83,422.73,509.85,596.88,688.23,0,1.53,4.5,13.95,28.26,47.7,64.17,88.47,125.46,189.99,0,390,960,2940,6390,8940,12300,16530,21690,30120,0,0,0.056043046,0.151012493,0.33535724,0.420856163,0.476516405,0.504217291,0.502970245,0.495463218,0,0,0,0,1.26,4.14,12.06,29.07,50.13,77.49,4,85
18,293677,6114746,8.37,30.69,65.16,115.47,191.25,267.12,353.97,459.9,582.84,728.28,4.32,19.26,42.66,72.81,103.5,147.06,194.31,248.49,298.17,351.45,570,1110,2130,4050,7020,10680,16470,22440,30360,35220,0,0.358657954,0.46409066,0.499633781,0.477178954,0.457407303,0.455974531,0.461889746,0.465296899,0.475440308,0,0,0,0,0,0,2.79,16.29,36.54,65.52,2,7
19,290709,6131133,10.71,31.05,70.2,118.44,172.71,228.87,279.45,315.27,346.68,387.99,0,2.88,7.2,23.22,52.47,93.69,150.75,218.88,302.04,385.11,0,630,1200,2250,3210,5610,11430,18000,26190,34890,0.498319681,0.445272076,0.278432471,0.266903109,0.304040045,0.321584194,0.329303896,0.337857267,0.327263493,0.339303501,0,0,0,0,0,0,0,0,0,0,2,13
21,296444,6120436,12.33,30.96,40.59,61.29,80.82,112.05,149.22,177.66,210.87,249.57,0.18,14.76,58.95,117.36,194.22,280.98,394.56,528.84,678.24,848.97,120,2040,5130,9360,13200,19350,26340,34740,42780,51780,0.618061224,0.613077561,0.533950271,0.415362567,0.344272801,0.26364572,0.205018472,0.168800643,0.145010597,0.14420051,0,0,0,0,0,0,0,0,0,0,2,10
22,294307,6111991,10.8,29.88,62.01,116.28,182.88,264.96,359.1,456.93,546.66,646.83,0,0.18,6.75,15.3,33.3,63,106.65,165.42,252.63,350.19,480,1170,2550,4110,5040,7410,12240,16920,23370,30900,0.074514753,0.488378099,0.606690227,0.670925131,0.667034292,0.671147417,0.677771742,0.674245888,0.660934095,0.642277471,11.16,21.24,33.3,50.58,78.39,110.61,133.47,142.74,142.74,142.74,3,29
25,293121,6113129,12.78,44.37,89.28,157.59,252.81,365.04,476.64,610.47,751.86,890.82,0,5.31,17.46,28.8,35.64,45.54,66.6,91.98,118.71,166.77,0,600,2070,3720,6210,9960,16350,23040,31590,39540,0,0.04261543,0.190989588,0.366779193,0.502175528,0.591743769,0.622696249,0.632719017,0.631769345,0.620776833,0,0.99,8.46,24.03,46.08,70.02,94.68,122.22,140.58,142.74,4,78
27,301344,6133916,5.94,11.97,18,23.22,30.69,41.4,54.18,63.72,82.8,114.93,1.53,25.56,70.83,140.76,230.31,344.88,478.62,636.3,808.11,981.9,690,2340,4890,7080,10440,13680,17520,21600,28290,36030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80
28,291661,6134334,10.35,31.32,63.45,101.34,154.08,212.76,274.41,340.56,396.09,434.07,0,9.99,26.64,55.62,91.71,138.06,193.95,252.36,336.15,432.36,60,1620,2160,3930,7350,11670,16710,24780,32670,41460,0.362093059,0.483540743,0.495023725,0.512045175,0.506537703,0.500697219,0.482258109,0.427067814,0.405117407,0.405818268,0,0,0,0,0,0,0,0,0,3.78,2,15
30,292056,6137980,12.69,46.89,88.56,127.53,151.47,164.34,171.36,172.08,173.25,189.99,0,0,0,3.96,11.16,28.08,54.09,101.43,189.09,277.02,0,0,0,990,2340,5190,10560,18000,25620,33330,0.395510204,0.66206735,0.597574952,0.540147467,0.523553069,0.531507722,0.576887847,0.606494964,0.636392851,0.665370285,0,14.22,60.3,118.53,188.55,265.86,326.88,369.99,393.93,421.92,2,11
33,295452,6120239,8.1,20.79,42.3,77.76,117,146.16,175.14,210.6,246.42,283.59,2.07,14.49,41.58,82.26,143.64,228.69,336.24,462.42,610.83,775.53,750,2880,6900,13200,20430,27810,37410,46770,56160,66930,0,0,0.04302553,0.096138439,0.169200713,0.183173649,0.166745134,0.138804041,0.119847168,0.103470267,0,0,0,0,0,0,0,0,0,0,4,36
36,292218,6137117,8.28,21.42,42.66,77.13,115.56,159.84,203.76,246.33,291.87,329.49,0,0.72,2.25,8.55,25.92,61.47,108,163.26,211.86,265.14,0,600,1470,3540,7470,11250,14490,18270,23580,32340,0.120306122,0.360184949,0.570736791,0.672023263,0.700356967,0.717949361,0.722420972,0.719182093,0.711106928,0.707337884,11.79,39.33,67.86,96.03,131.49,161.64,201.78,253.26,316.71,366.66,3,34
37,288846,6128396,8.37,25.38,52.29,87.84,123.93,164.97,217.89,287.82,375.57,478.8,0,0,0,2.52,8.91,15.03,34.2,63.63,99.18,161.64,0,0,0,1770,5070,7380,10890,18570,26550,36180,0.293367347,0.422405877,0.464454498,0.481964717,0.435619051,0.400464916,0.436419037,0.462375804,0.462152413,0.457973075,0,0,0,0,0,0,0,0,0,0,4,36
38,291537,6137175,8.46,26.28,55.44,89.01,120.96,167.04,215.37,249.93,283.41,332.1,0,0,0,0.54,4.68,9.54,16.56,44.28,85.41,137.52,0,510,660,1530,2910,5280,8910,14700,20370,26700,0.203716164,0.396356898,0.508166514,0.619542451,0.67545004,0.711246622,0.725995485,0.718722655,0.708523473,0.699838637,11.07,38.07,72.99,105.75,147.6,184.59,219.33,264.15,302.4,340.11,3,34
41,291962,6131192,10.62,30.87,55.08,88.2,124.74,163.08,203.67,233.28,270.36,301.5,0.99,13.41,32.04,59.85,116.73,194.22,295.29,408.24,521.01,661.05,360,1440,2850,5280,8190,12480,15900,20340,30810,40350,0.014705075,0.541463261,0.653421431,0.625084509,0.587173158,0.558253166,0.529503808,0.488188373,0.430948638,0.39202711,0,0,0,0,0,0,0,0,0,0,2,5
42,292240,6134837,12.6,48.78,99.63,165.51,224.73,268.02,318.15,366.84,421.11,483.03,0,1.71,12.06,27.18,55.53,113.85,177.21,265.41,347.94,434.7,0,360,1980,4890,7440,12690,17610,24270,32100,41850,0.014183673,0.205232772,0.362256063,0.53295048,0.550743692,0.507157071,0.471872469,0.448199383,0.436408033,0.425875005,0,0,0,0,0,0,0,0,1.08,6.48,2,12
50,291868,6131650,0.81,17.73,53.01,97.83,147.42,183.6,208.62,233.28,257.13,286.29,0,0.27,12.33,32.04,79.56,150.84,244.44,344.61,476.37,627.03,0,120,2310,5550,9240,13560,18810,23640,29970,39000,0.49957992,0.499973934,0.594990349,0.583989082,0.561880271,0.53698684,0.507409171,0.461714094,0.417621903,0.384334081,0,0,0,0,0,0,0,0,0,0,2,11
52,290578,6131770,5.85,15.66,43.2,90.99,127.89,179.37,229.5,269.64,306.72,343.17,0,0,0,3.6,27.27,51.3,79.47,138.6,229.23,344.97,0,0,540,2010,5970,9060,12960,17670,24990,34140,0,0,0.04528815,0.195785701,0.248046618,0.273380228,0.292624468,0.300723445,0.2901392,0.2752252,0,0,0,0,0,0,0,0,0,0,4,85
53,298644,6129707,12.24,45,88.74,130.95,177.21,232.38,300.87,374.58,449.37,502.56,0.09,5.04,21.87,63,126.09,202.41,289.26,391.95,504.09,650.52,60,1590,4320,7740,11460,19650,29310,39480,49770,59850,0,0,0.067597566,0.236325966,0.349525081,0.353717638,0.329503579,0.321645715,0.295483608,0.269892274,0,0,0,0.36,2.16,2.16,2.16,2.16,2.16,2.16,4,74
55,287957,6123042,11.52,34.29,64.08,109.98,167.94,211.68,278.19,338.67,417.24,502.02,0.27,3.69,21.51,41.67,56.16,67.77,94.41,153.27,232.92,338.58,150,1620,4530,8130,10440,14070,19980,28500,37260,44070,0.442798443,0.466248581,0.43108882,0.430018971,0.44199498,0.421512104,0.415633497,0.394116362,0.364133604,0.341176999,0,0,0,0,0,0,0,0,0,0,2,6
57,290364,6128615,9.99,25.74,68.13,134.73,199.89,273.06,345.96,418.77,495.36,595.98,0,0,0,5.85,29.61,58.32,108.72,182.7,270.09,353.25,0,0,0,2220,5700,10320,16800,22770,27510,32790,0.1171875,0.399357195,0.540823786,0.591031335,0.612095771,0.614512816,0.597988685,0.575557457,0.545046714,0.513547964,0,0,0,0,0,0,0,0,0,0,4,36
58,289396,6128470,5.49,21.51,50.58,89.73,148.77,230.94,311.04,391.05,486.54,595.26,0,2.43,7.02,7.02,7.02,8.37,10.8,33.48,77.85,139.05,390,1200,2220,2220,2220,2670,6270,11610,20880,30750,0.480601469,0.49854799,0.570213849,0.524150515,0.485308162,0.488790909,0.493750092,0.489135479,0.494339378,0.496627111,0,0,0,0,0,0,0,0,0,0,2,9
59,298700,6129229,12.42,47.7,88.38,126.36,175.14,228.6,285.21,360.45,417.69,475.74,0,2.7,20.88,68.31,130.05,207.18,308.61,410.85,543.87,692.55,0,930,3900,7710,12060,20070,27660,39270,47730,56220,0.314744802,0.4296875,0.443380186,0.452359895,0.423671277,0.408651991,0.374719924,0.322478993,0.289976385,0.298997586,0,0,0,1.98,2.16,2.16,2.16,2.16,2.16,2.16,4,77
61,290282,6126264,12.6,50.04,100.62,162.36,226.08,305.19,404.82,502.2,599.67,705.96,0,0,5.67,16.65,27.9,41.76,59.85,88.29,139.95,204.75,0,270,1980,4770,8610,13560,20130,26340,33540,42900,0.181150044,0.268577806,0.352282063,0.415718804,0.437247162,0.446972578,0.449558173,0.448405524,0.445566181,0.430920781,0,0,0,0,0,0,0,0,0,0,4,36
63,290568,6127925,12.6,45.45,100.17,173.61,255.96,343.08,433.17,526.77,621.36,714.42,0,0,0.72,9.36,26.73,52.29,98.1,165.78,244.44,322.74,0,0,360,2850,6300,10650,14700,20100,26700,35100,0.352698556,0.65431932,0.661600029,0.647926978,0.622391553,0.584493473,0.561897084,0.528639453,0.503420142,0.489232546,0,0,0,0,0,0,0,0,0,0,1,2
64,289317,6127949,12.51,42.75,96.12,169.11,235.44,299.43,375.03,480.06,586.26,665.91,0,3.96,7.02,7.02,7.02,7.02,10.62,16.2,39.42,108.9,0,810,1920,2220,2310,3360,7170,11520,19500,31770,0.584276445,0.449634225,0.362238,0.415953195,0.449790868,0.423316302,0.417020168,0.441950661,0.471130002,0.490209032,0,0,0,0,0,0,0,0,0,0,1,3
65,288962,6127681,12.51,50.22,107.82,169.29,222.12,297.72,377.1,445.32,530.82,630.72,0,0,0,2.88,9.99,12.42,25.38,54.54,93.51,150.21,0,0,0,1620,6210,9960,13770,20850,27960,33120,0,0.118966868,0.286796616,0.302412988,0.309354206,0.351448319,0.389395586,0.409511845,0.4129174,0.424555197,0,0,0,0,0,0,0,0,0,0,4,36
66,298174,6128059,11.25,32.22,59.13,95.49,145.62,201.78,257.67,308.52,360.81,410.94,0.81,15.93,50.31,100.35,161.46,230.94,332.73,453.06,589.32,748.53,360,2250,5370,11340,14610,21030,29370,38220,46020,51720,0.492653811,0.498181864,0.481568,0.456858416,0.433527206,0.433754523,0.37937851,0.330045717,0.309965276,0.308321639,0,0,0,0,0,1.98,2.16,2.16,2.16,2.16,2,10
67,291088,6127551,8.64,34.83,75.15,133.11,207.27,289.17,377.19,455.85,536.31,633.96,3.51,13.23,32.31,56.34,89.19,132.3,187.38,247.05,318.87,400.86,960,3000,5580,8310,10860,15330,19350,23940,31200,36960,0.632002298,0.661539158,0.661324448,0.655984269,0.631760065,0.591855845,0.563394447,0.525629053,0.495881235,0.476003011,0,0,0,0,0,0,0,0,0,0,1,3
68,289825,6126380,12.51,50.49,106.02,176.49,258.39,341.82,441.72,562.05,689.49,778.05,0,0,0,3.87,19.08,44.91,65.25,84.42,110.88,174.06,0,0,840,2340,5520,11730,18120,25860,34980,45390,0,0.03157082,0.201123956,0.320136776,0.403579405,0.403357008,0.409068551,0.418544625,0.42315983,0.418003105,0,0,0,0,0,0,0,0,0,0,4,36
70,289322,6114674,10.62,38.97,88.02,144.9,194.58,252.45,319.05,386.46,475.2,586.17,1.98,5.67,9.54,15.75,36.9,65.43,109.8,163.35,233.46,306.54,450,1140,2490,4200,6960,10440,15690,22440,31950,38670,0.254448509,0.377415402,0.399811393,0.391174951,0.41842922,0.482116728,0.565900719,0.58991738,0.567251674,0.538742828,0,0,0,3.15,17.1,41.31,71.01,93.42,102.33,107.73,4,85
71,289303,6115314,10.17,40.41,89.55,149.4,200.16,259.74,328.05,398.34,484.74,597.15,0,2.25,12.78,25.92,54,84.15,125.55,189,265.5,353.07,180,870,2490,4140,7650,13260,20760,28680,39060,47550,0.212061768,0.477096399,0.539839009,0.576330687,0.593842798,0.606208543,0.588394994,0.564251435,0.536820224,0.517613228,0,0.09,3.24,4.59,9.36,29.88,50.04,70.56,88.29,97.92,2,12
72,290012,6125544,11.34,35.19,66.33,101.88,156.24,234.27,327.87,416.07,501.93,606.96,0,0.09,6.12,21.69,40.95,63.45,76.86,108.81,151.83,193.95,0,1770,4230,7560,13110,19500,23760,29580,36330,45600,0.055897728,0.396017079,0.540997078,0.553233262,0.467194298,0.391491579,0.367697216,0.34429454,0.326782416,0.326990041,0,0,0,0,0,0,0,0,0,0,2,9
74,289327,6115843,12.69,45.45,81,118.44,171.72,241.74,319.95,398.07,484.47,577.17,0,4.86,23.94,60.03,102.51,141.03,187.92,243.9,305.01,401.58,0,840,3390,7830,11970,17460,25590,33630,42570,51300,0.122142857,0.43793397,0.637803248,0.651772345,0.613336017,0.562024156,0.539124724,0.514830677,0.489196744,0.474576124,0.27,4.5,4.59,4.59,4.59,5.85,19.26,35.91,56.43,78.03,2,12
76,296110,6115506,5.4,18.45,29.16,30.51,30.51,32.31,36.63,59.31,102.42,153.54,4.23,21.69,69.3,145.8,246.15,367.65,510.93,647.37,792.63,956.34,690,2340,4470,6390,7290,9690,13080,16110,22170,29610,0,0.095908581,0.241040948,0.244529448,0.230617057,0.19632268,0.162428853,0.113825088,0.075337697,0.053920258,0,0,0,0,0,0,0,0,0,0,4,39
77,294516,6127075,3.96,10.71,15.3,34.29,65.16,98.01,119.97,141.03,171,217.71,8.19,32.22,85.77,145.89,220.77,318.42,444.24,582.03,726.57,869.85,990,2400,3840,7350,11190,18360,25170,31920,35910,42810,0,0,0,0,0,0.066138578,0.082828587,0.081581554,0.082144086,0.088277675,0,0,0,0,0,0,0,0,0,0,4,74
78,291136,6112234,12.69,43.56,87.21,137.79,196.92,270.63,361.08,466.83,582.57,715.05,0,0,0,0,0,0,0,0,0.63,4.05,0,780,2790,5370,9450,13020,16860,19110,22920,27540,0.203716164,0.421264802,0.483160095,0.488884127,0.482589012,0.473865297,0.463500693,0.468207441,0.480069876,0.490362448,0,0,0,0,0,0,0,0.18,0.27,3.33,4,78
79,287548,6121784,6.84,17.91,51.93,78.21,100.8,147.6,199.8,261.09,326.43,390.78,0.45,5.04,11.79,39.51,81.18,125.82,182.7,252.36,326.7,415.53,420,2520,5520,10470,17370,23610,30270,38070,44310,49080,0.241699219,0.540095486,0.523947427,0.501286187,0.457627547,0.407306739,0.370701786,0.357216571,0.383761163,0.381250562,0,0,0,0,0,0,0,0,0,0.27,2,5
